NO,E KODU,ADI,SINIFI,FONKSİYONU,SAĞLIĞA ETKİSİ,DİKKAT
1,E100,Kurkumin,Renklendirici,Turuncu-sarı renklendirici,"KC hiperplazi (KC büyümesi). Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
2,E100(ii),Turmerik,Renklendirici,Turuncu-sarı renklendirici,"Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
3,E101,Riboflavin,Renklendirici,"Sarı renklendirici, vitamin B2","Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
4,E101(ii),Riboflavin- 5'- Fosfat,Renklendirici,"Sarı renklendirici, vitamin B2","Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
5,E102,Tartrazin,Renklendirici,"Sarı renklendirici, azo boyası","Astım, ürtiker, rinit, migren,ishal  ve çocukluk hiperaktivitesi görülebilir.Tartrazin kullanımıyla çocukluk hiperaktivitesi arasında ilişki olabileceği gösterilmiştir.  Aspirine hassas kişilerin %10-40'ında tartrazine karşı duyarlılık tespit edilmiştir. Aspirin alerjisi olanlarda astım krizleri çok ağır ve tedaviye dirençlidir. Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
6,E104,Kinolin Sarı,Renklendirici,"Yeşil-sarı renklendirici, sentetik"," Laboratuvar ortamında sinir hücresi diferansiasyonunu inhibe ettikleri görülmüştür. Ayrıca aspartam ve kinolin sarısının birlikte olduğu durumda immatür sinir dokusunda hasarlanmaya neden olduğu görülmüştür. Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
7,E106,Riboflavin–5-Sodyum fosfat,Renklendirici,"Sarı renklendirici, vitamin B2","Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
8,E107,Sarı2G,Renklendirici,"Sarı renklendirici, azo boyası","Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
9,E110,Sunset yellow FCF,Renklendirici,"Sarı renklendirici, azo boyası","İshal, astım, deri döküntüleri, hiperaktivite, böbrek bozukluğu, kurdeşen, rinit (burun akması), burun tıkanıklığı, alerji, hiperaktivite, böbrek tümörü, kromozom hasarı, karın ağrısı, bulantı ve kusma, hazımsızlık ve iştahsızlık görülebilir. Norveç'te yasaklandı.Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
10,E120,"Karmin, Kokhineal",Renklendirici,"Kırmızı renklendirici, doğal","Deride basit döküntü ve kaşıntılardan, ölüme kadar gidebilen anaflaktik şoka neden olduğu bilinen bir maddedir. Renklendiriciler alerjik etkilere aşırı duyarlı bireylerde direkt ilaç etkisiyle beraber ürtikerde prostaglandinler ve histamin salgılandığı düşünülmektedir. Davranış bozukluklarına sebebiyet verebileceği ve bu davranış bozukluklarının da 3-9 yaş arasındaki küçük çocuklarda görülen hiperaktiviteyle karakterize olabileceği rapor edilmiştir. Çocukların aktivite düzeylerinde ve konsantrasyonlarında olumsuz etkiler gösterebileceğini işaret etmektedir .Kullanımı yaygın olan ve çocuklarda DEHB semptomlarına neden olabileceği bildirilen başlıca renklendiriciler tartrazin, patent blue V , brilliant blue, allura red, eritrosin, sunset yellow, ponzo 4R ile karmin, karminik asit ve koşinaldir.  Renklendiriciler astım, aşırı hassasiyet, dermal döküntüler, preterm, migren, kanser, tiroid ve tümör gibi rahatsızlıklara ve kromozom deformasyonuna sebep olabilmektedir. Çalışma sonucunda gıda boyalarının hiperaktivite oluşturduğu ve doğumun birinci ayında sıçanlarda hiperaktiviteyi arttırdığı saptanmıştır. Aynı araştırıcı, dikkat eksikliği ve hiperaktivite davranışı gösteren çocukların diyetlerinden yapay boyalar kaldırıldığında çok belirgin gelişmeler olduğunu ileri sürmektedir. Yapay katkı maddelerinin davranış problemlerine yol açtığını gösteren bir başka kanıt ise; ksantan tipi boyaların vertebrasızlarda nöronların fizyolojik karekterlerini değiştirdiğidir. İlaveten bu maddeler bazı test hayvanlarında üremeyi dönüşümlü olarak inhibe edebilmektedir.",
